keep,university,openalex_id,doi,title,authors,affiliations,publication_year,cited_by_count,is_open_access,pdf_url,source,language,abstract,collected_on
yes,USPN,W2910890213,https://doi.org/10.1016/j.artmed.2019.01.001,Explainable artificial intelligence for breast cancer: A visual case-based reasoning approach,Jean-Baptiste Lamy; Boomadevi Sekar; Gilles Guézennec; Jacques Bouaud; Brigitte Séroussi,Université Sorbonne Paris Nord; Université Paris Cité; Inserm; Sorbonne Université; Assistance Publique – Hôpitaux de Paris; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; University of Ulster; Hôpital Tenon,2019,291,True,https://www.sciencedirect.com/science/article/am/pii/S0933365718304846?via%3Dihub,Artificial Intelligence in Medicine,en,"Case-Based Reasoning (CBR) is a form of analogical reasoning in which the solution for a (new) query case is determined using a database of previous known cases with their solutions. Cases similar to the query are retrieved from the database, and then their solutions are adapted to the query. In medicine, a case usually corresponds to a patient and the problem consists of classifying the patient in a class of diagnostic or therapy. Compared to ""black box"" algorithms such as deep learning, the responses of CBR systems can be justified easily using the similar cases as examples. However, this possibility is often under-exploited and the explanations provided by most CBR systems are limited to the display of the similar cases. In this paper, we propose a CBR method that can be both executed automatically as an algorithm and presented visually in a user interface for providing visual explanations or for visual reasoning. After retrieving similar cases, a visual interface displays quantitative and qualitative similarities between the query and the similar cases, so as one can easily classify the query through visual reasoning, in a fully explainable manner. It combines a quantitative approach (visualized by a scatter plot based on Multidimensional Scaling in polar coordinates, preserving distances involving the query) and a qualitative approach (set visualization using rainbow boxes). We applied this method to breast cancer management. We showed on three public datasets that our qualitative method has a classification accuracy comparable to k-Nearest Neighbors algorithms, but is better explainable. We also tested the proposed interface during a small user study. Finally, we apply the proposed approach to a real dataset in breast cancer. Medical experts found the visual approach interesting as it explains why cases are similar through the visualization of shared patient characteristics.",2026-03-23
yes,USPN,W3210685454,https://doi.org/10.2196/30359,Opportunities and Challenges for Professionals in Psychiatry and Mental Health Care Using Digital Technologies During the COVID-19 Pandemic: Systematic Review,Hélène Kane; Jade Gourret Baumgart; Wissam El‐Hage; Jocelyn Deloyer; Christine Maes; Marie-Clotilde Lebas; Donatella Marazziti; Johannes Thome; Laurence Fond‐Harmant; Frédéric Denis,Université Sorbonne Paris Nord; University of Pisa; Sorbonne Université; Centre Hospitalier Universitaire de Tours; Clinical Investigation Center Plurithematic Tours; Sorbonne Paris Cité; University of Rostock; Haute École de la Province de Namur; Saint Camillus International University of Health and Medical Sciences; Université de Tours,2021,42,True,https://doi.org/10.2196/30359,JMIR Human Factors,en,"New uses of such technologies essentially consist of a transition from the classic consultation model toward teleconsultation and make less use of the specific potential of artificial intelligence. As professionals were not prepared for these uses, they were confronted with practical difficulties and ethical questions, such as the place of digital technology in care, confidentiality and protection of personal data, and equity in access to care. The COVID-19 health crisis questions how the organization of health care integrates the possibilities offered by digital technology, in particular to promote the autonomy and empowerment of mental health service users.",2026-03-23
yes,USPN,W3081510761,https://doi.org/10.1055/s-0040-1702029,Transparency of Health Informatics Processes as the Condition of Healthcare Professionals’ and Patients’ Trust and Adoption: the Rise of Ethical Requirements,Brigitte Séroussi; Kate Fultz Hollis; Lina F. Soualmia,"Université Sorbonne Paris Nord; Inserm; Sorbonne Université; Normandie Université; Assistance Publique – Hôpitaux de Paris; Laboratoire d'Informatique, du Traitement de l'Information et des Systèmes; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Oregon Health & Science University; Hôpital Tenon",2020,26,True,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0040-1702029.pdf,Yearbook of Medical Informatics,en,"Objectives: To provide an introduction to the 2020 International Medical Informatics Association (IMIA) Yearbook by the editors. Methods: This editorial provides an introduction and overview to the 2020 IMIA Yearbook which special topic is: “Ethics in Health Informatics”. The keynote paper, the survey paper of the Special Topic section, and the paper about Donald Lindberg’s ethical scientific openness in the History of Medical Informatics chapter of the Yearbook are discussed. Changes in the Yearbook Editorial Committee are also described. Results: Inspired by medical ethics, ethics in health informatics progresses with the advances in biomedical informatics. With the wide use of EHRs, the enlargement of the care team perimeter, the need for data sharing for care continuity, the reuse of data for the sake of research, and the implementation of AI-powered decision support tools, new ethics requirements are necessary to address issues such as threats on privacy, confidentiality breaches, poor security practices, lack of patient information, tension on data sharing and reuse policies, need for more transparency on apps effectiveness, biased algorithms with discriminatory outcomes, guarantee on trustworthy AI, concerns on the re-identification of de-identified data. Conclusions: Despite privacy rules rooted in the Health Insurance Portability and Accountability Act of 1996 (HIPAA) in the USA and even more restrictive new regulations such as the EU General Data Protection Regulation published in May 2018, some people do not believe their data will be kept confidential and may not share sensitive information with a provider, which may also induce unethical situations. Transparency on healthcare data processes is a condition of healthcare professionals’ and patients’ trust and their adoption of digital tools.",2026-03-23
yes,USPN,W2967002964,https://doi.org/10.1055/s-0039-1677951,Artificial Intelligence in Health Informatics: Hype or Reality?,Kate Fultz Hollis; Lina F. Soualmia; Brigitte Séroussi,"Université Sorbonne Paris Nord; Université Paris Cité; Inserm; Sorbonne Université; Normandie Université; Sorbonne Paris Cité; Assistance Publique – Hôpitaux de Paris; Laboratoire d'Informatique, du Traitement de l'Information et des Systèmes; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Oregon Health & Science University; Hôpital Tenon",2019,23,True,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0039-1677951.pdf,Yearbook of Medical Informatics,en,"Objectives: To provide an introduction to the 2019 International Medical Informatics Association (IMIA) Yearbook by the editors. Methods: This editorial presents an overview and introduction to the 2019 IMIA Yearbook which includes the special topic “Artificial Intelligence in Health: New Opportunities, Challenges, and Practical Implications"". The special topic is discussed, the IMIA President’s statement is introduced, and changes in the Yearbook editorial team are described. Results: Artificial intelligence (AI) in Medicine arose in the 1970’s from new approaches for representing expert knowledge with computers. Since then, AI in medicine has gradually evolved toward essentially data-driven approaches with great results in image analysis. However, data integration, storage, and management still present clear challenges among which the lack of explanability of the results produced by data-driven AI methods. Conclusion: With more health data availability, and the recent developments of efficient and improved machine learning algorithms, there is a renewed interest for AI in medicine. The objective is to help health professionals improve patient care while also reduce costs. However, the other costs of AI, including ethical issues when processing personal health data by algorithms, should be included.",2026-03-23
yes,USPN,W3157307907,https://doi.org/10.1016/j.envint.2021.106574,Identification of non-validated endocrine disrupting chemical characterization methods by screening of the literature using artificial intelligence and by database exploration,Elias Zgheib; Min Ji Kim; Florence Jornod; Kévin Bernal; Céline Tomkiewicz; Sylvie Bortoli; Xavier Coumoul; Robert Barouki; Kelly de Jesus; Elise Grignard; P. Hubert; Efrosini S. Katsanou; François Busquet; Karine Audouze,"Université Sorbonne Paris Nord; Toxicologie, Pharmacologie et Signalisation Cellulaire; Université Paris Cité; Inserm; Université Clermont Auvergne; Sorbonne Université; Institut national de l'environnement industriel et des risques; Institut Génétique, Reproduction et Développement; Sorbonne Paris Cité; Benaki Phytopathological Institute",2021,23,True,https://doi.org/10.1016/j.envint.2021.106574,Environment International,en,"We identified methods to characterize EDCs which could be relevant for regulatory pre-validation and, ultimately for the efficient prevention of EDC-related severe health outcomes. This integrative approach highlights a successful and complementary strategy which combines computational and manual curation approaches.",2026-03-23
yes,USPN,W4393950419,https://doi.org/10.1093/jamia/ocae069,Collaborative and privacy-enhancing workflows on a clinical data warehouse: an example developing natural language processing pipelines to detect medical conditions,Thomas Petit-Jean; Christel Gérardin; Emmanuelle Berthelot; Gilles Châtellier; Marie Frank; Xavier Tannier; Emmanuelle Kempf; Romain Bey,Université Sorbonne Paris Nord; Institut Pierre Louis d‘Épidémiologie et de Santé Publique; Inserm; Université Paris Cité; Sorbonne Université; Assistance Publique – Hôpitaux de Paris; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Bicêtre Hospital; Hôpital Albert-Chenevier,2024,20,True,https://academic.oup.com/jamia/advance-article-pdf/doi/10.1093/jamia/ocae069/57159967/ocae069.pdf,Journal of the American Medical Informatics Association,en,"We demonstrated that a community of investigators working on a common clinical data warehouse could efficiently and securely collaborate to develop, validate and use sensitive artificial intelligence models. In particular, we provided an efficient and robust NLP pipeline that detects conditions mentioned in clinical notes.",2026-03-23
yes,USPN,W4376126986,https://doi.org/10.1016/j.eswa.2023.120443,A novel one-vs-rest consensus learning method for crash severity prediction,Syed Fawad Hussain; Muhammad Ashraf,Sorbonne Université; Université Sorbonne Paris Nord; Ghulam Ishaq Khan Institute of Engineering Sciences and Technology; University of Birmingham,2023,16,True,https://doi.org/10.1016/j.eswa.2023.120443,Expert Systems with Applications,en,"Research in crash severity prediction is necessary to allow safety planners to take precautionary measures and enable first aiders to remain prepared for assisting the injured. Existing literature in the field of crash severity prediction is mostly focused on generating the attributes for predicting the severity. However, in reality, not all features are discriminating, and certain classes are challenging to detect even employing the entire feature set. Although to tackle these problems several techniques are developed in the Machine Learning (ML) literature. But their application to crash severity prediction and an optimal strategy for the best combination of features or classifiers for achieving high accuracy is a less studied area. To address these problems, this work first provides a comparison of widely used classifiers for predicting crash severity; and secondly, by combining class-wise majority voting with One-vs-Rest (OvR) approach, a novel classification framework named, OvR consensus learning (OvRCL) is proposed. The proposed method avail a feature selection technique, Mutual information (MI), to acquire the most relevant feature set regarding the output class (i.e. severity). Moreover, to differentiate each class in the multi-class data, OvRCL iteratively runs ML algorithms as binary classifiers in an ensemble framework to significantly ameliorate classification performance. In our experiments, we use four classifiers, namely, the k-Nearest Neighbors (k-NN), Support Vector Machines (SVM), Random Forest (RF), and Bagging classifier, to get the consensus. Analysis was done using a real crash dataset obtained from an open data source of Leeds city council. A four-year crash data (2015–2018) is used for training and the OvRCL is tested on the 2019 data. Moreover, to validate the performance of OvRCL, this study also utilizes two more datasets with high-class imbalance. In contrast to conventional ML algorithms, our experiments depict that the OvRCL is a potent method for forecasting crash severity levels on the data under test.",2026-03-23
yes,USPN,W4311282072,https://doi.org/10.1055/s-0042-1742540,Inclusive Digital Health,Fleur Mougin; Kate Fultz Hollis; Lina F. Soualmia,"Université Sorbonne Paris Nord; Inserm; Sorbonne Université; Normandie Université; Laboratoire d'Informatique, du Traitement de l'Information et des Systèmes; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Bordeaux Population Health; Oregon Health & Science University; Université de Bordeaux",2022,13,True,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0042-1742540.pdf,Yearbook of Medical Informatics,en,There is a strong desire to better consider disparities between populations to avoid biases being induced in Artificial Intelligence algorithms in particular. Telemedicine and m-health must be more inclusive for people with disabilities or living in isolated geographical areas.,2026-03-23
yes,USPN,W3211238343,https://doi.org/10.3390/s21217278,Human Activity Recognition: A Dynamic Inductive Bias Selection Perspective,Massinissa Hamidi; Aomar Osmani,Laboratoire d'Informatique de Paris-Nord; Sorbonne Université; Université Sorbonne Paris Nord; Centre National de la Recherche Scientifique,2021,12,True,https://www.mdpi.com/1424-8220/21/21/7278/pdf?version=1636092895,Sensors,en,"In this article, we study activity recognition in the context of sensor-rich environments. In these environments, many different constraints arise at various levels during the data generation process, such as the intrinsic characteristics of the sensing devices, their energy and computational constraints, and their collective (collaborative) dimension. These constraints have a fundamental impact on the final activity recognition models as the quality of the data, its availability, and its reliability, among other things, are not ensured during model deployment in real-world configurations. Current approaches for activity recognition rely on the activity recognition chain which defines several steps that the sensed data undergo: This is an inductive process that involves exploring a hypothesis space to find a theory able to explain the observations. For activity recognition to be effective and robust, this inductive process must consider the constraints at all levels and model them explicitly. Whether it is a bias related to sensor measurement, transmission protocol, sensor deployment topology, heterogeneity, dynamicity, or stochastic effects, it is essential to understand their substantial impact on the quality of the data and ultimately on activity recognition models. This study highlights the need to exhibit the different types of biases arising in real situations so that machine learning models, e.g., can adapt to the dynamicity of these environments, resist sensor failures, and follow the evolution of the sensors' topology. We propose a metamodeling approach in which these biases are specified as hyperparameters that can control the structure of the activity recognition models. Via these hyperparameters, it becomes easier to optimize the inductive processes, reason about them, and incorporate additional knowledge. It also provides a principled strategy to adapt the models to the evolutions of the environment. We illustrate our approach on the SHL dataset, which features motion sensor data for a set of human activities collected in real conditions. The obtained results make a case for the proposed metamodeling approach; noticeably, the robustness gains achieved when the deployed models are confronted with the evolution of the initial sensing configurations. The trade-offs exhibited and the broader implications of the proposed approach are discussed with alternative techniques to encode and incorporate knowledge into activity recognition models.",2026-03-23
yes,USPN,W3080524808,https://doi.org/10.1055/s-0040-1702007,Clinical Research Informatics,Christel Daniel; Dipak Kalra; Section Editors for the IMIA Yearbook Section on Clinical Research Informatics,Université Sorbonne Paris Nord; Université Paris Cité; Inserm; Sorbonne Université; Sorbonne Paris Cité; Assistance Publique – Hôpitaux de Paris; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Ghent University,2020,12,True,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0040-1702007.pdf,Yearbook of Medical Informatics,en,"The most significant research efforts in the CRI field are currently focusing on real world evidence generation and especially the reuse of EHR data. With the progress achieved this year in the areas of phenotyping, data integration, semantic interoperability, and data quality assessment, real world data is becoming more accessible and reusable. High quality data sets are key assets not only for large scale observational studies or for changing the way clinical trials are conducted but also for developing or evaluating artificial intelligence algorithms guiding clinical decision for more personalized care. And lastly, security and confidentiality, ethical and regulatory issues, and more generally speaking data governance are still active research areas this year.",2026-03-23
yes,USPN,W4403048071,https://doi.org/10.1038/s41746-024-01237-y,"Algorithmovigilance, lessons from pharmacovigilance",Alan Balendran; Mehdi Benchoufi; Theodoros Evgeniou; Philippe Ravaud,"Université Sorbonne Paris Nord; Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement; Université Paris Cité; Inserm; Sorbonne Université; Sorbonne Paris Cité; Assistance Publique – Hôpitaux de Paris; Centre de Recherche Épidémiologie et Statistique; Hôtel-Dieu de Paris; INSEAD; Columbia University",2024,11,True,https://www.nature.com/articles/s41746-024-01237-y.pdf,npj Digital Medicine,en,"Artificial Intelligence (AI) systems are increasingly being deployed across various high-risk applications, especially in healthcare. Despite significant attention to evaluating these systems, post-deployment incidents are not uncommon, and effective mitigation strategies remain challenging. Drug safety has a well-established history of assessing, monitoring, understanding, and preventing adverse effects in real-world usage, known as pharmacovigilance. Drawing inspiration from pharmacovigilance methods, we discuss concepts that can be adapted for monitoring AI systems in healthcare. This discussion aims to improve responses to adverse effects and potential incidents and risks associated with AI deployment in healthcare but also beyond.",2026-03-23
yes,USPN,W2889142411,https://doi.org/10.1055/s-0038-1667078,"As Ontologies Reach Maturity, Artificial Intelligence Starts Being Fully Efficient: Findings from the Section on Knowledge Representation and Management for the Yearbook 2018",Ferdinand Dhombres; Jean Charlet; Section Editors for the IMIA Yearbook Section on Knowledge Representation and Management,Université Sorbonne Paris Nord; Université Paris Cité; Inserm; Sorbonne Université; Assistance Publique – Hôpitaux de Paris; Sorbonne Paris Cité; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Hôpital Armand-Trousseau,2018,11,True,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0038-1667078.pdf,Yearbook of Medical Informatics,en,"Ontologies are demonstrating their maturity to integrate medical data and begin to support clinical practices. New challenges have emerged: the query on distributed semantically annotated datasets, the efficiency of semantic annotation processes, the semantic representation of large textual datasets, the control of biases associated with semantic annotations, and the computation of Bayesian indicators on data annotated with ontologies.",2026-03-23
